UniqueCount	AmbigCount
0	0
7	9
79	0
166	0
36	0
0	0
650	0
1741	0
0	0
192	0
269	32
127	0
26	0
2	0
319	0
1	0
251	0
477	0
124	0
13	14
356	5
0	0
574	0
294	0
441	0
14	0
291	169
0	0
12	0
4	435
5	456
0	445
7	464
4	0
28	0
22	0
184	0
1977	0
22	0
0	426
0	846
0	363
0	920
1	983
0	226
0	243
8	275
0	205
4	187
0	0
0	0
0	25
0	0
0	0
0	75
5	75
595	0
210	515
9	63
0	63
3	300
0	303
8	204
2	148
0	148
0	143
192	0
0	334
0	333
0	334
0	334
0	334
0	241
0	335
0	335
2	321
0	239
37368	9043
21	0
28	0
0	0
0	0
0	0
0	177
1	249
0	249
0	216
0	153
0	150
0	209
2	149
0	213
16	0
356	0
0	83
2	83
0	0
32	0
30	230
16	86
0	86
838	0
593	0
1	23
0	23
0	0
0	0
2	0
0	20
0	20
0	22
0	20
0	20
0	20
0	22
11	0
6	0
54375	0
4	304
1	374
0	362
5693	0
6	0
1796	0
2	0
1	1643
20	1643
0	1275
2	1283
134	1286
0	127
0	127
0	127
0	0
8	1311
113	1311
22	1472
247	1472
38	0
0	0
0	0
62	0
0	4
0	4
10	0
36	0
3	165
0	165
836	613
5	1172
146	1172
14	0
1549	0
403	0
12	182
0	182
0	2
2	2
0	742
30	742
7	657
1	657
268	0
160	0
2	0
0	30
0	31
0	29
0	31
0	31
0	0
1003	0
46	0
3	189
32	189
434	0
636	0
3	545
0	578
13	514
0	897
144	0
20	128
0	128
0	148
0	125
0	116
0	125
0	152
0	124
2	144
0	125
0	125
0	122
0	151
0	122
0	2093
0	1944
1	2060
0	1897
5	1851
727	0
0	0
129	0
0	86
0	82
0	86
0	73
0	73
0	86
0	82
0	73
0	86
0	82
0	73
0	0
540	4
61	0
0	27
27	27
42	0
74	0
8	0
396	1116
2	1116
0	130
166	130
0	0
694	0
0	0
737	0
112	0
0	0
0	0
0	0
0	0
16	0
0	0
55	309
1	339
0	326
336	16
284	0
200	0
4	0
8259	31925
4	0
0	21
0	21
668	0
0	608
56	608
0	0
3889	0
0	0
419	0
22	0
34	0
4	0
1166	0
805	0
517	0
185	0
78	791
0	791
4	683
0	0
0	0
0	215
1	239
1	237
0	0
0	18
0	18
0	18
0	13
2672	0
2	9
1	74
1	74
0	74
3	1034
0	1034
5974	0
256	0
770	0
28	1029
58	1029
0	345
1	345
0	345
0	0
0	22
0	22
84	0
0	427
0	443
0	427
0	427
0	443
0	443
0	836
1	756
3	725
3	818
0	357
0	830
1	780
0	42
0	42
239	299
5	299
0	0
0	10
0	10
0	10
64	0
0	308
0	308
94	563
15	563
0	36
2	28
0	36
49	887
0	890
872	0
0	151
215	151
0	141
3	243
0	243
0	68
0	70
0	268
36	270
2	517
1	360
0	590
0	569
1	488
1	499
0	538
0	475
84	0
467	0
0	0
0	106
0	106
1	60
11	60
0	45
0	16
2	32
0	44
0	16
0	46
437	0
0	143
0	148
0	149
0	139
0	149
1404	0
83	0
0	0
57	174
0	174
19	0
0	947
31	947
0	33
1	36
0	42
0	0
0	649
0	649
0	2
0	2
0	2
69	0
0	0
1	0
2	0
0	501
0	140
0	84
0	137
438	0
1349	0
928	0
0	0
6	996
268	999
8	999
1039	0
27	369
4	369
44	0
26	0
360	0
0	0
18	0
0	0
710	0
0	98
0	105
24	98
0	0
8	0
288	0
0	0
232	0
6	0
0	10
0	10
0	10
495	0
0	420
0	420
16	420
0	0
211	0
0	1593
22	1593
0	0
0	0
29	0
2321	0
0	0
887	0
1	508
45	508
2	36
0	6
0	6
32	30
2	1
553	0
10	0
1170	0
3298	0
0	4
0	4
2298	0
0	0
234	0
8	0
46	177
10	177
62	0
2	53
0	49
1	43
0	56
704	0
0	0
0	42
0	44
0	42
0	42
0	44
2	0
222	0
0	0
3	717
2	729
0	736
6	717
93	0
0	99
0	0
17	165
0	165
10248	46365
11	46365
0	0
0	0
14	0
18999	56
168	0
346	0
405	0
326	1743
8	1743
0	0
0	0
0	0
608	0
271	0
0	122
4	111
0	123
0	159
56	156
0	154
0	175
0	174
0	173
1	174
68	0
0	0
236	219
0	1
0	205
