UniqueCount	AmbigCount
0	0
12	25
63	0
271	0
46	0
0	0
387	0
886	0
2	0
104	0
471	69
127	0
40	0
0	0
335	0
34	1
418	0
623	0
561	0
12	8
365	10
0	0
253	0
392	0
492	0
29	0
75	108
0	0
12	0
1	179
2	199
0	191
4	206
2	0
36	0
21	0
174	0
2314	0
6	0
1	902
0	1812
0	806
1	1870
0	2038
0	79
0	102
3	93
0	88
3	61
0	0
0	0
0	41
0	0
1	1
0	70
3	70
385	0
81	144
8	59
1	59
1	160
0	160
3	101
51	1531
0	1531
1	1481
3806	0
0	258
0	258
0	258
0	258
0	258
0	181
0	258
0	258
0	250
0	181
31171	6590
88	0
51	0
0	0
0	0
0	0
1	205
1	263
0	269
0	287
0	117
0	116
0	284
0	114
0	285
20	0
158	0
7	111
4	111
0	0
58	0
31	97
13	217
1	217
1035	0
482	0
8	51
1	51
0	0
0	0
2	0
0	19
0	19
0	19
0	21
0	19
0	19
0	21
16	0
78	0
64935	0
2	150
0	199
0	192
2709	0
6	0
76	0
2	0
0	852
6	852
0	3524
4	3500
307	3544
0	426
1	426
0	426
0	0
2	1538
150	1538
11	928
138	928
59	0
0	0
0	0
2	0
0	2
0	2
41	0
32	0
4	93
0	93
153	146
1	348
39	348
6	0
885	0
267	0
23	215
0	215
0	2
2	2
1	784
30	784
9	1020
0	1020
177	0
543	0
0	0
2	56
0	64
0	62
0	62
0	63
2	0
1205	0
52	0
2	211
43	211
223	0
16	0
0	303
0	321
5	296
0	557
153	0
66	357
0	357
0	208
0	168
1	139
0	168
0	210
0	167
2	195
0	168
0	168
0	166
0	210
0	166
0	1322
0	1265
1	1296
1	1230
13	1202
256	0
0	0
178	0
0	235
0	218
0	234
0	194
0	193
0	235
0	216
0	195
0	233
0	218
0	194
0	0
275	2
111	0
0	40
28	40
444	0
38	0
24	0
271	795
1	795
0	110
104	110
0	0
591	0
0	0
509	0
815	0
0	0
0	0
0	0
0	0
20	0
0	0
100	567
2	585
4	574
239	12
83	0
110	0
12	0
11529	39406
55	0
0	95
6	95
715	0
0	538
72	538
0	0
3303	0
0	0
407	0
35	0
154	0
12	0
739	0
363	0
722	0
233	0
46	281
1	281
1	236
0	0
2	0
0	146
1	165
4	164
0	0
0	82
0	84
0	82
0	66
7882	0
24	6
0	66
2	66
4	66
12	1726
0	1726
2696	0
843	0
711	0
1	12549
799	12549
0	528
9	528
2	528
0	0
3	131
4	131
124	0
0	302
0	317
0	302
0	302
0	317
0	317
0	1277
0	1171
3	1122
1	1219
0	585
0	1257
5	1185
0	38
0	38
169	237
1	237
2	0
1	4
0	5
0	5
212	3
0	70
0	70
23	140
4	140
0	113
1	104
1	113
43	702
0	703
394	0
0	189
144	189
0	175
8	306
0	306
0	87
1	92
0	994
116	994
3	604
0	437
0	675
0	640
2	568
2	583
0	609
0	539
68	0
312	0
0	0
0	99
0	99
2	96
17	96
0	74
0	18
2	60
0	71
0	18
0	76
349	0
0	119
0	119
0	126
1	122
0	125
1649	0
100	0
0	0
82	130
1	129
4	0
1	905
39	905
0	92
0	75
0	108
0	0
0	410
0	410
3	11
2	11
0	8
86	0
2	11
1	11
0	0
2	383
0	156
0	102
0	147
482	0
933	0
1535	0
0	0
3	813
194	815
3	813
4166	0
1	9
0	9
43	1
16	0
110	0
0	1
7	0
0	0
131	0
1	193
0	220
58	207
0	0
0	0
418	1
6	0
354	0
1351	0
0	36
3	36
0	36
388	0
0	358
0	366
17	366
0	0
235	0
0	792
21	792
0	0
0	0
28	0
5002	0
2	0
1566	0
0	476
43	476
0	14
0	10
0	10
4	4
2	0
568	0
27	0
421	0
4115	0
0	6
0	6
793	0
0	0
338	0
16	0
140	649
8	649
78	0
1	55
0	51
0	42
0	55
191	0
0	0
0	63
0	64
0	63
0	58
0	62
2	0
545	0
0	0
7	950
7	986
0	989
17	948
16	0
0	30
0	0
34	568
0	568
617	3043
0	3043
0	0
0	0
6	0
11732	55
254	0
294	0
94	0
93	418
6	418
0	0
0	0
0	0
413	0
120	2
0	246
7	234
2	252
1	212
36	209
0	202
0	258
0	261
0	259
2	256
64	3
0	0
295	63
2	2
0	351
0	358
0	296
1	298
0	298
0	170
0	171
0	171
0	0
4	6
0	6
0	6
0	0
0	12
2	12
0	0
6	1370
0	1376
0	1284
0	0
0	0
13	342
9	325
0	380
4665	0
2411	0
0	0
0	0
212	0
0	1209
773	1209
1	0
585	0
442	0
35	0
0	0
1027	0
0	172
2	171
2	174
0	169
0	171
3	512
82	512
8	0
0	46
0	46
280	0
7	3136
60	3283
2	3156
64	3536
1	3167
6	0
491	0
359	0
130	0
490	0
38	0
7	0
197	1
0	0
70	50
0	0
0	4
88	0
1189	0
190	0
93	543
2	543
46	385
8	385
2093	0
0	93
0	87
0	93
16	0
259	0
0	0
1980	0
11	0
0	0
0	0
0	35
1	35
0	0
5	0
0	0
241	0
0	0
0	0
10	0
0	424
2	424
28	0
0	467
23	467
0	20
0	3
0	3
235	0
30	0
388	0
0	0
0	0
0	125
0	112
1	121
106	339
0	0
110	0
128	432
0	432
1	344
1	344
0	30
47	763
9	763
0	158
137	158
184	0
39	256
0	256
0	36
0	34
0	36
682	0
6	671
17	671
0	176
12	220
0	261
0	253
0	1363
3	1466
563	0
3	100
0	96
255	0
4	2
0	0
0	401
0	407
0	407
0	406
999	0
0	0
0	2
0	2
0	2
153	0
191	33
18	52
0	57
0	60
0	58
50	611
4	516
0	0
18	0
2	18
4	18
0	4
0	7
0	5
0	0
0	1018
75	1018
514	0
0	63
0	64
0	64
0	64
0	64
23	48
0	0
0	0
0	0
163	0
677	0
0	0
0	0
2797	0
1	352
140	354
112	0
395	0
0	0
250	0
15	605
0	304
1	647
0	709
0	320
0	452
234	0
0	20
0	21
3	21
435	0
0	177
0	178
0	204
0	205
6	304
0	304
153	0
141	23
46	0
0	0
111	2843
400	2843
100	0
0	395
78	395
0	0
2	383
11	383
0	293
0	316
1	321
0	321
0	321
0	317
0	0
0	0
4	4
214	0
0	4
1	0
0	456
0	454
0	465
0	467
1	431
22	1216
0	1130
2	1121
0	1216
49	0
0	0
0	0
0	80
7	80
3	391
0	380
1	388
1209	0
526	204
36	0
243	0
2	618
6	676
11	656
12	647
0	712
5	548
4	630
0	0
502	0
69	112
1	112
0	24
0	21
2	24
0	0
168	0
660	0
0	792
1	816
3	831
558	0
152	0
81	0
2	1
2	0
602	0
0	2098
1	2075
0	1600
0	68
0	68
0	62
0	70
0	60
0	60
0	70
0	68
74	0
265	0
592	0
16	0
0	342
0	347
0	347
0	342
0	1166
0	1390
0	1386
0	1162
1	986
0	979
0	401
0	1409
151	1385
0	1317
0	17
18	19
14	0
123	145
6	51
1	51
0	0
0	0
8062	0
0	0
663	0
0	0
166	0
0	0
0	158
5	158
0	186
3	879
0	927
2	1068
6	1000
22	193
1	189
3	197
3	195
0	199
0	189
1	196
72	1115
231	0
4	0
136	0
3924	0
172	0
0	1016
12	1016
4	491
31	491
0	442
399	442
6	138
0	138
24	0
8	0
459	0
5	458
12	458
28	0
7	6
98	0
173	1
1	39
3	78
0	72
2	64
0	0
285	0
667	336
27	1155
60	1155
199	0
92	0
1018	0
0	389
4	349
0	395
1	389
100	0
665	198
434	0
1484	0
231	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	471
0	491
3	421
1	487
112	0
281	0
2	0
0	5
160	0
192	0
22	441
0	441
4	0
0	0
0	0
0	0
0	0
0	486
13	486
0	485
175	0
3337	0
0	232
2	232
0	145
1106	2197
23	2197
126	0
311	0
17	0
358	0
0	0
8	0
383	0
1452	0
0	694
0	692
0	708
1	693
0	693
12	0
0	0
0	0
0	0
0	156
0	156
0	156
1419	0
48	0
917	0
0	0
1874	0
78	0
434	0
0	660
0	710
0	599
0	651
4	604
0	0
0	0
0	0
10	0
0	0
0	64
20	64
0	137
4	139
125	145
38	121
0	120
2	134
1	107
0	0
164	0
0	1889
109	1889
0	110
1	110
547	0
0	255
0	293
6	269
234	0
2	0
0	76
0	77
2	84
6	0
195	0
1910	0
0	0
35	89
402	0
1337	0
0	0
0	0
166	0
3	170
0	178
10	178
24	0
0	359
1	29
0	0
0	0
0	0
0	26
24	26
264	0
1	0
0	0
0	0
0	0
4	0
0	701
12	701
6	62
2	62
757	0
11	153
0	138
0	193
5	190
0	0
46	0
0	0
0	0
45	28
2	0
421	0
0	25
0	48
0	46
0	51
0	53
0	0
0	0
0	0
0	2
0	2
2	0
2	0
34	0
352	0
0	0
2	10974
2817	10974
41	0
742	0
1	183
2	183
0	3114
576	3114
1	661
19	699
27	699
173	0
17	311
0	311
0	285
0	0
0	392
26	389
0	0
374	0
14	0
0	2
0	2
0	2
0	0
372	1400
0	1400
1	61
1	61
0	60
1	238
1	267
0	255
41	267
382	0
213	0
0	4
0	4
0	0
0	0
577	0
0	475
0	473
3	476
0	84
6	84
0	0
0	0
0	78
2	0
0	1134
0	1308
8	1266
3	1179
0	176
0	176
4	155
196	0
3	83
2	83
0	90
10	0
4	0
28	0
1	0
4	363
25	363
721	162
691	0
2	0
0	4
0	4
2000	0
237	0
70	0
132	730
1	574
1	624
260	0
0	0
22	423
10	394
56	425
1580	200
680	0
0	16
0	14
0	12
35	0
326	0
634	0
0	32
0	25
0	31
0	36
0	33
0	31
0	34
0	35
0	22
0	30
0	35
0	27
0	25
0	40
0	37
0	34
0	25
0	33
0	27
0	33
0	33
2	0
0	0
329	0
519	0
6	0
4	0
14	0
0	130
750	133
5	0
0	1138
1	1052
4	995
3	1238
19	1305
20	341
33	341
6	341
0	152
0	152
0	152
0	151
0	51
5	51
4	0
93	1102
2	1093
3	1082
46	497
12	497
0	0
0	86
1230	0
2	0
4	0
0	0
8	4
0	70
0	70
2	496
1	461
75	498
12	0
10	0
0	0
160	0
0	0
0	0
74	0
1061	0
410	0
0	0
0	0
1068	0
2	8
2	8
0	0
2	928
37	928
226	0
0	0
47	2613
1	6323
0	6222
0	6675
293	0
0	23002
2302	23002
613	0
816	0
491	0
49	64221
1	59678
2082	71415
0	111
2	275
758	0
17	6111
4238	6111
2	0
0	0
0	178
0	179
0	179
14	179
0	0
1	273
32	273
47	0
0	68
0	54
0	54
0	62
2	3
1658	0
0	80
103	80
3	273
0	276
7	276
1	835
41	835
487	761
4	0
2	744
0	748
2	744
0	748
0	176
38	176
36	0
283	0
0	104
2	104
0	48
0	48
800	0
0	793
4	811
1	778
0	843
5616	0
502	0
6	236
22	236
448	0
219	5
518	305
0	0
0	0
0	0
974	0
2	13
2	18
0	22
0	358
0	357
0	358
0	194
0	194
66	0
4	87
0	87
0	12
0	16
0	16
3	205
27	205
0	0
0	2
0	2
0	332
0	335
18	334
53	2541
817	2541
0	0
0	65
0	48
3	52
355	0
0	229
16	0
0	32
0	32
47	0
8	0
14	0
20	0
529	0
48	429
4	428
8	0
0	324
1	111
0	308
1062	0
2	82
12	82
187	0
0	0
2	0
54	533
0	533
0	0
15	0
1	10
0	0
239	0
0	61
69	61
22	0
0	345
44	345
512	0
0	0
0	1874
14	1874
499	0
0	182
4	182
205	185
2	185
5	373
0	422
0	422
0	0
1	200
352	0
0	0
0	100
0	103
0	94
3	102
0	102
0	95
4	90
0	110
0	86
0	0
22	0
0	678
9	678
0	0
0	141
52	153
110	247
0	247
6	44
0	44
0	434
0	497
0	232
0	232
0	232
1	232
1	211
0	235
927	0
2	534
25	534
0	0
1	1
0	11
0	11
0	10
1576	0
0	12
0	12
0	0
0	0
0	195
1	203
0	203
0	262
58	262
2729	0
1910	38
1734	0
16	59
17	47
0	37
95	786
0	786
13	1173
133	1173
7	399
4	558
0	386
8	608
37	608
2	0
2161	0
0	94
0	98
20	92
0	102
0	36
0	36
0	345
3	945
1	946
0	294
0	289
1	279
313	0
36	0
34	0
0	0
11779	24013
8	24013
0	0
272	0
0	546
2	581
0	595
0	586
9	484
0	595
8	534
5	548
0	10
0	10
0	13
3	13
701	0
329	0
0	0
28	19
3	1260
282	1260
240	0
675	0
403	0
0	1009
295	0
0	82
0	83
0	84
0	82
0	82
0	84
0	81
0	81
0	84
0	81
44	0
0	0
144	0
0	6
0	2
0	6
0	2
0	0
0	0
0	130
0	130
0	130
0	130
0	129
0	0
615	0
1	401
0	422
3	413
0	419
0	60
4	60
20	0
0	200
43	200
125	0
0	0
82	0
1	241
0	208
0	241
0	1795
10	1795
0	0
110	0
334	1077
0	0
976	0
244	0
71	0
114	1211
0	1107
13	1211
208	0
4089	978
0	0
12	137
0	137
3	249
1	249
100	0
3	178
0	176
0	178
0	0
14	0
0	26
0	26
22	0
1296	0
13	408
4	426
1	440
2	0
23931	0
0	2
0	2
0	2
0	132
0	108
0	101
0	129
0	101
0	101
0	105
0	101
0	102
2	129
0	132
0	128
0	0
0	0
0	0
29	1704
88	1704
0	41
179	0
271	0
0	0
0	155
187	155
0	0
0	0
0	0
0	0
0	0
15	136
17	136
0	0
8	59
1	56
5	64
0	269
0	266
1	272
0	268
17	270
1	9935
2	9925
1	10859
0	9927
0	9948
5	9887
5	9946
0	9952
0	0
6	127
0	127
66	792
6	794
14	783
4	59
8	59
0	155
0	141
0	165
0	151
0	149
0	154
0	140
0	152
0	154
0	144
0	155
0	150
0	162
0	151
0	148
0	143
0	159
0	155
0	153
0	148
0	152
0	161
0	136
0	153
0	149
0	155
0	139
134	5
4	209
1	209
64	0
0	0
70	0
0	86
0	82
3	82
2	368
0	402
23	402
0	402
0	0
11	31
0	31
0	1090
1	1036
2	904
0	903
1	5
0	5
0	4
0	364
0	364
148	0
29	461
59	461
202	0
11	617
1	617
0	0
0	0
406	0
49	334
44	334
2515	0
83	0
36	0
0	0
0	16
0	16
23	334
1	334
0	317
0	309
0	308
1	284
1	309
0	305
0	314
0	318
2	309
2	301
466	0
528	0
0	0
0	6
0	0
80	0
926	0
0	346
0	502
0	540
2	484
2622	6984
319	0
0	32
0	34
0	34
0	34
1	201
19	478
6	478
760	0
0	358
11	367
0	49
9	55
1	81
0	49
215	0
1	1999
3	1903
2	2050
2	1922
5717	0
59	275
6	275
0	23
2	24
0	24
4	0
1	195
0	195
0	0
0	0
0	0
678	0
1064	0
7	231
587	231
0	39
0	41
0	41
96	0
199	0
660	0
7	90
0	96
0	100
352	2
0	123
0	134
0	138
1	138
0	0
1	0
16	276
0	322
0	314
268	0
4	0
0	0
94	877
0	877
0	14
0	14
50	472
3	472
623	0
0	25
9	25
0	0
1	8845
323	8845
8	707
1	707
0	7
7	0
600	0
0	201
11	204
0	199
2	204
0	201
60	0
0	16
4	164
0	15
639	0
337	0
1	454
2	454
481	0
1	0
0	415
0	415
13	0
429	0
0	26
0	37
0	35
3086	2100
4	2100
400	840
11	840
347	0
152	0
50	0
66	0
0	2
0	2
14	126
0	126
28	0
0	27
1	27
6	166
23	38
390	0
0	0
12	593
0	593
0	586
9	592
0	907
17	951
4	951
0	0
805	0
6	0
12	511
3	543
0	209
0	566
3	1860
196	1848
4	1860
4	1848
0	18
0	18
0	18
1	121
0	121
0	8
0	8
0	8
0	8
4	211
6	211
2	0
0	892
0	883
1	775
0	893
0	653
261	653
15	0
4011	0
0	286
0	284
0	278
0	286
1	286
0	23
0	23
1	0
1275	0
0	4
0	10
0	10
32	292
0	292
2	292
6	0
84	0
0	473
38	473
28	0
1	281
14	281
9	680
4	721
4	802
63	0
0	44
632	0
0	0
0	0
0	0
0	197
1	208
1	203
12	0
2	373
0	395
322	0
2	0
443	0
0	99
29	99
0	390
10	390
0	0
0	0
3	56
3	56
1598	1977
0	1977
0	0
0	0
0	180
0	180
0	0
2	0
11	0
0	14
0	14
85	982
0	982
36	230
0	250
25	183
1	183
14	0
529	4
1162	0
0	190
0	229
0	233
0	226
0	211
0	197
0	202
379	0
0	580
0	565
0	581
1	532
0	639
7	125
1	525
4	625
4	560
37	44
0	42
0	0
0	0
150	0
1	711
10	0
36	0
0	0
183	0
78	10
320	0
2	0
74	0
136	0
0	98
0	97
0	98
58	8
528	0
10	329
0	388
0	395
0	393
0	390
0	0
671	0
1334	0
51	44
0	627
7	627
0	627
19	2
123	0
314	0
0	179
0	155
4	89
0	178
1169	0
0	0
0	14
10	0
0	0
0	224
0	226
0	226
4	226
1030	0
951	0
0	5
0	5
0	0
3	319
38	319
4	0
82	5
0	12
0	12
155	0
0	66
1	66
22	1720
0	1720
182	0
802	0
2	0
38	0
0	0
299	0
653	0
0	440
2	442
4	374
0	457
86	0
0	0
0	0
2	16
0	23
6	23
36	0
0	277
3	277
1	0
0	6
0	6
0	0
0	14
7	14
0	0
255	0
0	541
111	541
324	0
44	0
0	0
68	4
1	1
437	0
3	65
0	65
208	114
0	114
0	188
51	188
95	0
0	0
697	0
0	0
2	0
0	2
0	2
10	0
14	0
231	0
1	0
1	461
0	461
